Date,Open,High,Low,Close,Adj Close,Volume
2017-03-31,75.020157,75.952087,73.762054,74.190742,60.406441,198058947
2017-04-03,74.190742,75.010834,73.734100,74.638069,60.770653,121226200
2017-04-04,74.554192,75.467484,74.274612,75.430206,61.415619,30021688
2017-04-05,75.392929,76.520561,75.020157,76.418045,62.219929,545874032
2017-04-06,76.418045,76.418045,74.647385,76.101189,61.961929,96502368
2017-04-07,76.101189,76.324852,75.113350,75.597954,61.552193,23383931
2017-04-10,75.206543,75.868210,74.973557,75.709785,61.643250,24005621
2017-04-11,75.467484,75.905487,75.113350,75.625908,61.574955,36464252
2017-04-12,75.616592,75.840256,75.206543,75.439522,61.423203,71628330
2017-04-13,75.439522,76.194382,75.206543,76.101189,61.961929,32351612
2017-04-17,75.579315,76.203705,75.579315,75.802979,61.719131,13556871
2017-04-18,75.830933,75.952087,75.579315,75.784340,61.703953,49913645
2017-04-19,75.784340,75.784340,75.784340,75.784340,61.703953,0
2017-04-20,75.784340,75.998680,75.234497,75.569992,61.529434,60218014
2017-04-21,74.647385,75.952087,75.113350,75.830933,61.741890,22486756
2017-04-24,75.877533,76.744225,75.821617,76.678986,62.432381,93163236
2017-04-25,76.678986,77.154266,76.157104,76.446007,62.242695,26543150
2017-04-26,76.483284,76.697624,75.858894,76.157104,62.007462,27508697
2017-04-27,76.194382,76.623070,74.554192,75.206543,61.233513,22880793
2017-04-28,75.486122,76.035957,74.647385,75.020157,61.081745,23645298
2017-05-02,75.029472,77.116997,75.029472,76.548515,62.326141,49285535
2017-05-03,76.548515,76.856056,75.719101,76.399406,62.204739,41088796
2017-05-04,76.399406,77.349976,76.399406,77.266098,62.910404,35670028
2017-05-05,77.256783,77.582954,76.418045,77.387253,63.009052,51485972
2017-05-08,77.387253,77.387253,76.138466,76.613754,62.379261,45172644
2017-05-09,76.613754,76.874695,76.045280,76.436684,62.235096,83002098
2017-05-10,76.874695,78.188713,76.324852,77.741386,63.297386,73689418
2017-05-11,77.732063,77.741386,76.939926,77.247459,62.895237,46473311
2017-05-12,77.620232,77.769341,77.163589,77.732063,63.289795,18264331
2017-05-15,77.815941,78.626717,77.582954,78.505562,63.919579,21976823
2017-05-16,78.468285,78.896973,78.188713,78.561478,63.965111,31133665
2017-05-17,78.570801,78.878334,77.527039,77.937088,63.456734,19467420
2017-05-18,77.937088,78.281898,77.349976,77.564316,63.153214,21722899
2017-05-19,77.564316,79.623878,77.564316,78.253944,63.714718,33403081
2017-05-22,79.316345,79.400215,78.011642,79.157913,64.450722,70942439
2017-05-23,79.046082,80.145760,79.046082,79.726387,64.913589,16049449
2017-05-24,80.145760,81.059044,79.521362,80.835381,65.816544,56575291
2017-05-25,80.537170,81.245430,80.453293,80.854019,65.831718,275550401
2017-05-29,81.301346,82.009613,80.984489,81.068367,66.006241,24692770
2017-05-30,81.236115,81.357262,81.077682,81.245430,66.150391,44880231
2017-05-31,81.245430,81.375900,79.828903,80.005966,65.141212,109677770
2017-06-01,81.077682,81.105644,79.950050,80.965851,65.922760,31965061
2017-06-02,80.052567,81.459778,80.052567,80.965851,65.922760,27041035
2017-06-05,80.965851,81.077682,79.819580,80.183037,65.285393,21707858
2017-06-06,81.077682,82.009613,80.145760,81.049728,65.991058,18529889
2017-06-07,81.049728,81.059044,79.661156,80.425339,65.482681,30645419
